"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","17:59:06"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
0.00,3038.53627439024,0.530610219512195
0.02,3036.2773902439,0.375712487804878
0.04,3033.88300609756,0.490594365853659
0.06,3035.86758536585,0.532574634146341
0.08,3037.83068292683,0.436463829268293
0.10,3035.13390243902,0.209464804878049
0.12,3038.60237195122,0.340716804878049
0.14,3038.69325609756,0.310232
0.16,3039.51286585366,0.491030902439024
0.18,3035.00831707317,0.276618682926829
0.20,3033.57234756098,0.281857121951219
0.22,3038.95103658537,0.268324487804878
0.24,3039.30465853659,0.556656902439024
0.26,3037.35973780488,0.443521170731707
0.28,3037.06229878049,0.344863902439024
0.30,3038.96095121951,0.46607556097561
0.32,3042.76156097561,0.451815365853659
0.34,3037.50680487805,0.294516682926829
0.36,3035.52057317073,0.487829634146341
0.38,3035.80975,0.419729926829268
0.40,3037.87199390244,0.304920804878049
0.42,3037.5646402439,0.350247853658537
0.44,3039.06340243902,0.377240365853659
0.46,3038.7841402439,0.269343073170732
0.48,3037.06064634146,0.57644656097561
0.50,3037.21597560976,0.390918512195122
0.52,3034.23662804878,0.483755292682927
0.54,3037.84059756098,0.28564043902439
0.56,3037.93974390244,0.340062
0.58,3032.88162804878,0.501580536585366
0.60,3036.61779268293,0.470077146341463
0.62,3041.11573170732,0.373529804878049
0.64,3038.71473780488,0.277273487804878
0.66,3039.6648902439,0.320417853658537
0.68,3038.12977439024,0.34828343902439
0.70,3031.42417682927,0.441338487804878
0.72,3036.53186585366,0.408598243902439
0.74,3038.53131707317,0.425404902439024
0.76,3033.02704268293,0.347046585365854
0.78,3036.13858536585,0.500561951219512
0.80,3034.9157804878,0.315906975609756
0.82,3034.27959146341,0.376731073170732
0.84,3039.5492195122,0.351120926829268
0.86,3035.30906097561,0.289642024390244
0.88,3035.29914634146,0.536357951219512
0.90,3037.40931097561,0.449268902439024
0.92,3033.37405487805,0.259812024390244
0.94,3035.48256707317,0.328057243902439
0.96,3035.44951829268,0.45188812195122
0.98,3036.85243902439,0.359997170731707
1.00,3035.36524390244,0.468112731707317
1.02,3033.31787195122,0.571135365853659
1.04,3034.97692073171,0.377749658536585
1.06,3033.51781707317,0.395429390243902
1.08,3032.32640853659,0.34231743902439
1.10,3035.85932317073,0.586414146341463
1.12,3035.01327439024,0.441265731707317
1.14,3037.37956707317,0.477134487804878
1.16,3034.72575,0.435590756097561
1.18,3034.36386585366,0.323037073170732
1.20,3036.00308536585,0.383279121951219
1.22,3036.56326219512,0.311396097560976
1.24,3036.98463414634,0.418056536585366
1.26,3035.1190304878,0.465129731707317
1.28,3035.08598170732,0.591216048780488
1.30,3034.17383536585,0.496996902439024
1.32,3038.32641463415,0.393173951219512
1.34,3039.29143902439,0.353303609756098
1.36,3038.49992073171,0.518750975609756
1.38,3036.80617073171,0.30055543902439
1.40,3034.45805487805,0.401540902439024
1.42,3038.43547560976,0.506600707317073
1.44,3038.59906707317,0.377531390243902
1.46,3042.41620121951,0.286950048780488
1.48,3038.28014634146,0.322818804878049
1.50,3032.42390243902,0.391791585365854
1.52,3036.21129268293,0.502599121951219
1.54,3036.80947560976,0.430643341463415
1.56,3040.50102439024,0.519915073170732
1.58,3040.89595731707,0.447304487804878
1.60,3034.12591463415,0.459163731707317
1.62,3038.46852439024,0.429770268292683
1.64,3039.85657317073,0.467894463414634
1.66,3034.14078658537,0.33860687804878
1.68,3036.26251829268,0.395720414634146
1.70,3035.65607317073,0.378040682926829
1.72,3040.57373170732,0.494523195121951
1.74,3037.82242073171,0.39601143902439
1.76,3037.34486585366,0.489212
1.78,3037.44731707317,0.481136073170732
1.80,3034.90586585366,0.414345975609756
1.82,3037.97609756098,0.468694780487805
1.84,3038.52305487805,0.384661487804878
1.86,3037.07056097561,0.367418292682927
1.88,3031.2771097561,0.445412829268293
1.90,3035.30245121951,0.518605463414634
1.92,3038.63211585366,0.368582390243902
1.94,3032.36606707317,0.349593048780488
1.96,3029.27270121951,0.230054780487805
1.98,3029.67589634146,0.403141536585366
2.00,3032.26857317073,29.040669097561
2.02,3052.01356707317,70.8315532682927
2.04,3054.62111585366,73.0234762195122
2.06,3055.58118292683,70.9295557317073
2.08,3057.32120121951,69.7764443414634
2.10,3054.73513414634,68.6259521707317
2.12,3055.75303658537,69.7960157317073
2.14,3059.52720731707,70.5030594878049
2.16,3069.01220731707,69.220515
2.18,3078.55008536585,71.1705966829268
2.20,3083.59332926829,73.1617128048781
2.22,3085.29864634146,73.4162136341463
2.24,3081.13945731707,74.4930038780488
2.26,3077.80979268293,73.4067553414634
2.28,3079.19123170732,72.3979920487805
2.30,3078.74672560976,71.5256464390244
2.32,3081.46994512195,71.594983
2.34,3082.4961097561,70.8684406097561
2.36,3080.02736585366,70.0114465365854
2.38,3086.63051219512,68.6530901951219
2.40,3086.26532317073,66.2226
2.42,3077.0149695122,64.656525
2.44,3069.31129878049,63.3862762926829
2.46,3056.38426829268,63.9578481951219
2.48,3043.32834756098,66.3641833658537
2.50,3030.34182926829,68.0148737073171
2.52,3025.85876219512,70.3319371463415
2.54,3025.96617073171,73.5429547560976
2.56,3030.62274390244,76.7892590731707
2.58,3052.56217682927,81.9288953170732
2.60,3058.56053048781,82.9227436097561
2.62,3052.72576829268,82.4321492439024
2.64,3056.84860365854,82.5179286829268
2.66,3062.33965853659,80.9220236829268
