"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","18:27:46"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
0.82,3034.68609146341,0.223652243902439
0.84,3031.19779268293,0.169085170731707
0.86,3029.43959756098,0.143038487804878
0.88,3034.09617073171,0.287022804878049
0.90,3030.52690243902,0.198260365853659
0.92,3035.64946341463,0.14689456097561
0.94,3036.013,0.129505853658537
0.96,3033.27325609756,0.295753536585366
0.98,3029.78,0.077630756097561
1.00,3029.18181707317,0.284985634146341
1.02,3029.54370121951,0.142965731707317
1.04,3029.05623170732,0.293643609756098
1.06,3028.72409146341,0.199424463414634
1.08,3030.95323170732,0.20881
1.10,3029.7733902439,0.320781634146341
1.12,3029.92376219512,0.173959829268293
1.14,3028.12921341463,0.293570853658537
1.16,3030.09396341463,0.121793707317073
1.18,3029.86592682927,0.175924243902439
1.20,3028.03667682927,0.216813170731707
1.22,3030.32695731707,0.192803658536585
1.24,3029.13720121951,0.172213682926829
1.26,3034.66791463415,0.029757243902439
1.28,3032.06036585366,0.176651804878049
1.30,3026.92623780488,0.212738829268293
1.32,3031.47375,0.224088780487805
1.34,3029.21651829268,0.119902048780488
1.36,3025.23579268293,0.166975243902439
1.38,3028.42995731707,0.109861707317073
1.40,3025.89015853659,0.205608731707317
1.42,3029.30244512195,0.244533243902439
1.44,3030.8772195122,0.140710292682927
1.46,3029.32227439024,0.191057512195122
1.48,3031.57785365854,0.158462780487805
1.50,3026.05209756098,0.290224073170732
1.52,3025.08707317073,0.131470268292683
1.54,3022.38698780488,0.210628902439024
1.56,3029.24130487805,0.29604456097561
1.58,3033.09479268293,0.229399975609756
1.60,3028.24984146341,0.12004756097561
1.62,3033.72767682927,0.108552097560976
1.64,3031.42913414634,0.130815463414634
1.66,3029.9088902439,0.115536682926829
1.68,3028.85628658537,0.169594463414634
1.70,3030.2476402439,0.169230682926829
1.72,3034.10443292683,0.197241780487805
1.74,3028.49275,0.0814868292682927
1.76,3033.17245731707,0.223288463414634
1.78,3030.21624390244,0.351994
1.80,3030.38479268293,0.117355585365854
1.82,3029.42142073171,0.138236585365854
1.84,3028.90255487805,0.367709317073171
1.86,3031.89512195122,0.141001317073171
1.88,3032.70977439024,0.160208926829268
1.90,3029.88740853659,0.274217731707317
1.92,3033.60539634146,-0.0412527073170732
1.94,3032.47182317073,0.15067787804878
1.96,3027.68966463415,0.188802073170732
1.98,3029.82957317073,0.108333829268293
2.00,3025.92651219512,4.47028014634146
2.02,3028.77201219512,9.0948032195122
2.04,3031.73648780488,12.3994579268293
2.06,3033.83012804878,15.6833043902439
2.08,3037.26720121951,18.8973777560976
2.10,3035.01823170732,21.7937252439024
2.12,3037.26554878049,24.4792255609756
2.14,3043.00612195122,27.2000853414634
2.16,3040.93231097561,30.3488964878049
2.18,3043.36470121951,33.8579958292683
2.20,3045.68307317073,39.9065012439024
2.22,3045.77726219512,49.6596743902439
2.24,3048.88054268293,61.9000874878049
2.26,3050.74118902439,74.0027005365854
2.28,3051.96895121951,83.8484194390244
2.30,3051.09150609756,84.1138336829268
2.32,3050.40574390244,83.9274325609756
2.34,3050.14135365854,84.8173851463415
2.36,3051.57897560976,85.8808610243902
2.38,3052.89927439024,87.1540199756098
2.40,3050.60238414634,89.2723865121951
2.42,3050.77919512195,90.2754020731707
2.44,3048.36167682927,91.5841387560976
2.46,3051.64011585366,92.7907986341463
2.48,3049.18128658537,93.8043638292683
2.50,3052.59853048781,94.2663650487805
2.52,3050.55942073171,94.8837732926829
2.54,3052.48616463415,95.4651672682927
2.56,3050.71475,96.709514804878
2.58,3050.95270121951,97.1453965853658
2.60,3052.9438902439,96.6300651463415
2.62,3052.80673780488,96.933749097561
2.64,3050.54950609756,96.8970800243902
2.66,3052.31926829268,96.6770655853659
2.68,3053.68087804878,96.8691416829268
2.70,3053.07112804878,96.9521563902439
2.72,3051.0601097561,97.0254217804878
2.74,3047.72218292683,96.5712782195122
2.76,3050.51480487805,96.8713243658537
2.78,3050.6536097561,97.3216846097561
2.80,3052.23995121951,96.8014785121951
2.82,3048.5533597561,96.4983766097561
2.84,3051.03036585366,96.0586387560976
2.86,3051.98051829268,95.717339902439
2.88,3053.33717073171,95.1199395853659
2.90,3048.30053658537,95.6626273170732
2.92,3054.66738414634,96.0274263902439
2.94,3051.54427439024,95.7595384390244
2.96,3050.28676829268,96.6575669512195
2.98,3048.82270731707,97.597794
3.00,3047.32890243902,98.2787183170732
3.02,3047.15870121951,98.1603441463415
3.04,3046.88604878049,98.2478697317073
3.06,3051.84006097561,97.875867804878
3.08,3048.49717682927,97.5212545853659
3.10,3047.94691463415,97.2134235365854
3.12,3050.96426829268,97.3025497560976
3.14,3048.3567195122,96.6873241951219
3.16,3053.22315243902,95.9498683902439
