"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","19:01:21"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
0.00,3021.51945731707,0.038706243902439
0.02,3016.65467682927,0.154170170731707
0.04,3019.31014634146,0.189820658536585
0.06,3021.7788902439,0.175851487804878
0.08,3017.77503048781,-0.00785765853658537
0.10,3021.58390243902,0.155334268292683
0.12,3021.88134146341,0.186983170731707
0.14,3020.50651219512,0.169157926829268
0.16,3025.15812804878,0.0192076097560976
0.18,3022.30106097561,0.00523843902439024
0.20,3020.6271402439,0.0740657073170732
0.22,3019.07054268293,0.147403853658537
0.24,3020.5114695122,0.113281243902439
0.26,3021.01215853659,0.0144057073170732
0.28,3018.62273170732,0.11706456097561
0.30,3019.16142682927,0.226708
0.32,3017.51559756098,0.102440585365854
0.34,3017.27268902439,0.000945829268292683
0.36,3020.33631097561,-0.0362325365853659
0.38,3019.84388414634,0.0262649512195122
0.40,3022.66129268293,0.132343341463415
0.42,3022.4018597561,-0.148058658536585
0.44,3016.74225609756,0.251881609756098
0.46,3021.21871341463,0.0385607317073171
0.48,3018.84250609756,0.0429260975609756
0.50,3016.44812195122,0.207500390243902
0.52,3022.68112195122,0.062788512195122
0.54,3020.0372195122,0.026847
0.56,3014.70314634146,0.0737746829268293
0.58,3021.32446951219,0.0873073170731707
0.60,3019.69351219512,0.0993120731707317
0.62,3017.3949695122,0.0914544146341463
0.64,3017.87417682927,0.12084787804878
0.66,3019.21595731707,0.112699195121951
0.68,3021.24845731707,0.159408609756098
0.70,3024.58638414634,0.17745212195122
0.72,3021.63512804878,0.133143658536585
0.74,3020.35944512195,0.108624853658537
0.76,3020.81717073171,0.125722536585366
0.78,3022.27957926829,0.221324048780488
0.80,3017.97497560976,0.115536682926829
0.82,3021.72931707317,-0.0878166097560976
0.84,3019.94468292683,0.012077512195122
0.86,3019.6918597561,0.186037341463415
0.88,3020.96093292683,0.159335853658537
0.90,3020.23220731707,0.109497926829268
0.92,3024.01133536585,0.306812463414634
0.94,3015.78218902439,0.181308195121951
0.96,3021.38395731707,0.0470004390243902
0.98,3020.45528658537,0.0110589268292683
1.00,3018.69378658537,0.127614195121951
1.02,3019.34154268293,0.0652622195121951
1.04,3020.4437195122,0.10884312195122
1.06,3021.57068292683,0.154097414634146
1.08,3018.51532317073,0.198114853658537
1.10,3019.80918292683,0.238057951219512
1.12,3018.36990853659,0.27814656097561
1.14,3019.78770121951,0.239149292682927
1.16,3022.01684146341,0.251517829268293
1.18,3020.32804878049,0.139400682926829
1.20,3021.61364634146,0.0306303170731707
1.22,3018.49218902439,0.119974804878049
1.24,3018.49218902439,-0.0552946341463415
1.26,3018.05925,-0.107751780487805
1.28,3020.63540243902,0.0108406585365854
1.30,3022.03006097561,0.190766487804878
1.32,3021.89621341463,0.102586097560976
1.34,3022.12259756098,0.164428780487805
1.36,3018.73840243902,-0.044745
1.38,3021.76236585366,0.253627756097561
1.40,3021.57398780488,0.177888658536585
1.42,3022.02840853659,0.0563132195121951
1.44,3022.10937804878,0.0992393170731707
1.46,3021.77393292683,0.265195975609756
1.48,3022.29114634146,0.107824536585366
1.50,3021.61529878049,0.0155698048780488
1.52,3016.40681097561,0.0510020243902439
1.54,3018.83424390244,0.210628902439024
1.56,3023.7634695122,0.121357170731707
1.58,3019.06558536585,0.10884312195122
1.60,3018.96974390244,0.110007219512195
1.62,3020.03226219512,0.0750842926829268
1.64,3022.47126219512,0.211356463414634
1.66,3018.75162195122,0.15962687804878
1.68,3017.62631097561,-0.00611151219512195
1.70,3021.24184756098,0.107897292682927
1.72,3017.14545121951,0.095528756097561
1.74,3018.15013414634,0.133361926829268
1.76,3020.61392073171,0.129142073170732
1.78,3019.17629878049,0.023864
1.80,3018.78136585366,0.0964745853658537
1.82,3018.02124390244,0.125067731707317
1.84,3018.09064634146,0.0962563170731707
1.86,3017.65605487805,0.242859853658537
1.88,3016.60014634146,0.10586012195122
1.90,3019.36963414634,-0.0724650731707317
1.92,3020.4437195122,0.157589707317073
1.94,3017.93862195122,0.186328365853659
1.96,3015.41865243902,0.142238170731707
1.98,3016.10276219512,1.76819143902439
2.00,3018.63429878049,10.1336875365854
2.02,3023.26112804878,27.1583233414634
2.04,3035.14381707317,63.5618367560976
2.06,3036.49716463415,78.7443609268293
2.08,3029.49082317073,73.6357187804878
2.10,3027.57234146341,72.5109095121951
2.12,3024.00142073171,72.1186813902439
2.14,3027.45171341463,72.527497902439
2.16,3027.75906707317,72.7907294634146
2.18,3020.98076219512,74.3505474390244
2.20,3016.92898170732,75.5871828292683
2.22,3026.27187195122,72.4261486585366
2.24,3030.92018292683,67.8167588536585
2.26,3031.58281097561,66.7420785365854
2.28,3027.78550609756,70.5018226341463
2.30,3020.79899390244,68.153765097561
2.32,3021.25506707317,63.9008801707317
2.34,3019.56792682927,64.0025204390244
2.36,3022.10772560976,62.603566195122
2.38,3015.2005304878,61.5983679512195
2.40,3016.84470731707,62.9255119268293
2.42,3016.12093902439,61.5753770243902
2.44,3013.90336585366,62.0899081463415
2.46,3006.7383902439,64.666638097561
2.48,3008.73784146341,66.4838671463415
2.50,3014.61721951219,67.9732572195122
2.52,3022.5985,71.0737583170732
2.54,3030.80616463415,72.1928198536585
2.56,3033.97223780488,70.0084635365854
2.58,3031.24240853659,68.8343983902439
2.60,3035.66598780488,65.9365957804878
2.62,3038.99895731707,66.399761097561
2.64,3036.24268902439,66.7367673414634
2.66,3041.75357317073,64.1085988292683
2.68,3034.53902439024,64.6568160243902
