"ID番号","PCD-400A"
"タイトル",""
"試験日時","2021/02/26","17:07:31"
"測定CH数",2
"サンプリング周波数(Hz)",50
"集録データ数/CH",45100
"測定時間(sec)",902
"CH名称"
"レンジ","5kμε","2kμε"
"ハイパスフィルタ","***","***"
"ローパスフィルタ","FLAT","FLAT"
"ローパス(デジタル)","***","***"
"校正係数",2.71,0.2983
"オフセット",0,0
"単位","g","g"
"Time(sec)","CH1","CH2"
0.00,3040.0647804878,0.328202756097561
0.02,3034.6712195122,0.241768512195122
0.04,3041.19670121951,0.442066048780488
0.06,3038.5742804878,0.383133609756098
0.08,3035.79487804878,0.364944585365854
0.10,3038.01906097561,0.370692317073171
0.12,3034.66791463415,0.333586707317073
0.14,3036.35340243902,0.485646951219512
0.16,3039.67480487805,0.520278853658537
0.18,3036.8193902439,0.622355658536585
0.20,3035.85932317073,0.264395658536585
0.22,3038.91468292683,0.511402609756098
0.24,3043.52168292683,0.235220463414634
0.26,3042.99125,0.439301317073171
0.28,3042.60953658537,0.533302195121951
0.30,3036.96480487805,0.573900097560976
0.32,3038.29997560976,0.460473341463415
0.34,3033.56243292683,0.200515804878049
0.36,3038.41234146341,0.386916926829268
0.38,3037.26885365854,0.509292682926829
0.40,3035.92707317073,0.331331268292683
0.42,3036.26086585366,0.564369048780488
0.44,3036.67893292683,0.460618853658537
0.46,3038.45365243902,0.549963341463415
0.48,3040.66296341463,0.364580804878049
0.50,3039.71115853659,0.496924146341463
0.52,3034.08460365854,0.511038829268293
0.54,3038.46356707317,0.253918780487805
0.56,3037.7612804878,0.340935073170732
0.58,3037.36634756098,0.593908024390244
0.60,3038.77257317073,0.582630829268293
0.62,3036.77642682927,0.38931787804878
0.64,3038.25205487805,0.387717243902439
0.66,3038.9873902439,0.467239658536585
0.68,3037.89017073171,0.668483024390244
0.70,3044.27354268293,0.411581243902439
0.72,3033.95736585366,0.502453609756098
0.74,3033.39057926829,0.424677341463415
0.76,3039.60375,0.412163292682927
0.78,3040.49606707317,0.440974707317073
0.80,3036.51203658537,0.421694341463415
0.82,3039.56574390244,0.415582829268293
0.84,3039.03200609756,0.414345975609756
0.86,3038.92459756098,0.284330829268293
0.88,3034.16557317073,0.599728512195122
0.90,3035.56188414634,0.557457219512195
0.92,3036.70206707317,0.400813341463415
0.94,3037.7001402439,0.301646780487805
0.96,3040.31099390244,0.342171926829268
0.98,3031.91495121951,0.552291536585366
1.00,3033.94910365854,0.483537024390244
1.02,3039.45337804878,0.559276121951219
1.04,3038.08185365854,0.341007829268293
1.06,3033.60704878049,0.20211643902439
1.08,3039.80369512195,0.570553317073171
1.10,3037.59603658537,0.451233317073171
1.12,3038.66516463415,0.588014780487805
1.14,3036.80947560976,0.525808317073171
1.16,3040.98684146341,0.453124975609756
1.18,3034.9223902439,0.30353843902439
1.20,3038.11820731707,0.324201170731707
1.22,3037.72988414634,0.470295414634146
